#time,accel_x,accel_y,accel_z
236.689320,222.061783,-10418.898773,-740.205942
236.689640,0.000000,-9959.241474,-962.267725
236.689960,518.144159,-10418.898773,-962.267725
236.690280,-444.123565,-10189.070123,0.000000
236.690600,296.082377,-9959.241474,-1184.329507
236.690920,740.205942,-10418.898773,-666.185348
236.691240,1184.329507,-9882.631924,-740.205942
236.691560,1480.411884,-10035.851024,-444.123565
236.691880,1406.391290,-10265.679673,-222.061783
236.692200,962.267725,-10035.851024,-222.061783
236.692520,1036.288319,-10265.679673,-444.123565
236.692840,444.123565,-9959.241474,-370.102971
236.693160,222.061783,-10035.851024,-296.082377
236.693480,0.000000,-10112.460574,-444.123565
236.693800,-148.041188,-9882.631924,-740.205942
236.694120,74.020594,-10418.898773,-518.144159
236.694440,1110.308913,-10418.898773,-1036.288319
236.694760,592.164754,-9882.631924,-962.267725
236.695081,1332.370696,-10418.898773,-814.226536
236.695401,592.164754,-9882.631924,-888.247130
236.695721,74.020594,-11184.994271,-444.123565
236.696041,518.144159,-10265.679673,-666.185348
236.696361,666.185348,-10342.289223,-740.205942
236.696681,592.164754,-9882.631924,-518.144159
236.697001,962.267725,-9116.536426,-1184.329507
236.697321,1036.288319,-9959.241474,-666.185348
236.697641,1036.288319,-9882.631924,-592.164754
236.697961,1110.308913,-10189.070123,-222.061783
236.698281,888.247130,-10035.851024,-296.082377
236.698601,518.144159,-10265.679673,-518.144159
236.698921,148.041188,-10265.679673,-370.102971
236.699241,0.000000,-10189.070123,-1258.350101
236.699561,222.061783,-10189.070123,-592.164754
236.699881,888.247130,-9806.022374,-1036.288319
236.700201,1332.370696,-10418.898773,-1110.308913
236.700521,740.205942,-10495.508323,-962.267725
236.700841,740.205942,-10112.460574,-1036.288319
236.701161,-74.020594,-9116.536426,0.000000
236.701481,666.185348,-10418.898773,-444.123565
236.701801,740.205942,-10189.070123,-370.102971
236.702121,1036.288319,-9882.631924,-740.205942
236.702441,1110.308913,-11414.822920,-74.020594
236.702761,962.267725,-10265.679673,74.020594
236.703081,1110.308913,-10189.070123,-148.041188
236.703401,888.247130,-9882.631924,-592.164754
236.703721,740.205942,-10112.460574,-370.102971
236.704042,148.041188,-10189.070123,-1110.308913
236.704362,0.000000,-10418.898773,-666.185348
236.704682,74.020594,-10112.460574,-1258.350101
236.705002,370.102971,-10572.117872,-1110.308913
236.705322,222.061783,-9882.631924,-888.247130
236.705642,518.144159,-10265.679673,-740.205942
236.705962,666.185348,-9959.241474,-1110.308913
236.706282,1628.453072,-10265.679673,-666.185348
236.706602,1554.432478,-9959.241474,-296.082377
236.706922,1258.350101,-10112.460574,-296.082377
236.707242,1036.288319,-10112.460574,-148.041188
236.707562,592.164754,-9882.631924,-592.164754
236.707882,518.144159,-9959.241474,-518.144159
236.708202,666.185348,-10035.851024,-592.164754
236.708522,666.185348,-10418.898773,-518.144159
236.708842,0.000000,-9806.022374,-740.205942
236.709162,370.102971,-10572.117872,-740.205942
236.709482,0.000000,-10035.851024,-1110.308913
236.709802,370.102971,-10112.460574,-1036.288319
236.710122,444.123565,-10265.679673,-740.205942
236.710442,592.164754,-10189.070123,-888.247130
236.710762,1406.391290,-9959.241474,-1184.329507
236.711082,888.247130,-9806.022374,-1110.308913
236.711402,1258.350101,-10265.679673,-370.102971
236.711722,1406.391290,-10035.851024,-592.164754
236.712042,0.000000,-9116.536426,222.061783
236.712362,1110.308913,-10418.898773,-592.164754
236.712682,592.164754,-9959.241474,-518.144159
236.713003,814.226536,-10418.898773,-296.082377
236.713323,1258.350101,-10342.289223,-740.205942
236.713643,444.123565,-10112.460574,-296.082377
236.713963,0.000000,-9882.631924,-814.226536
236.714283,-74.020594,-9882.631924,-740.205942
236.714603,444.123565,-10265.679673,-666.185348
236.714923,518.144159,-10189.070123,-592.164754
236.715243,592.164754,-9882.631924,-666.185348
236.715563,888.247130,-10495.508323,-1110.308913
236.715883,370.102971,-10495.508323,-592.164754
236.716203,814.226536,-11031.775171,-1258.350101
236.716523,296.082377,-10035.851024,-666.185348
236.716843,814.226536,-10801.946522,-518.144159
236.717163,592.164754,-9882.631924,-518.144159
236.717483,1406.391290,-8503.660028,444.123565
236.717803,1184.329507,-9882.631924,-444.123565
236.718123,1480.411884,-10265.679673,-222.061783
236.718443,888.247130,-9882.631924,-814.226536
236.718763,962.267725,-11951.089769,-1110.308913
236.719083,0.000000,-9882.631924,-444.123565
236.719403,-74.020594,-10189.070123,-592.164754
236.719723,0.000000,-10265.679673,-962.267725
236.720043,518.144159,-10342.289223,-888.247130
236.720363,222.061783,-10112.460574,-1184.329507
236.720683,296.082377,-10189.070123,-962.267725
236.721003,1110.308913,-10265.679673,-888.247130
236.721323,1036.288319,-10265.679673,-888.247130
236.721643,1776.494261,-10572.117872,-1036.288319
236.721964,1110.308913,-10265.679673,-296.082377
236.722284,740.205942,-10035.851024,0.000000
236.722604,1110.308913,-10342.289223,-148.041188
236.722924,1184.329507,-8427.050478,0.000000
236.723244,740.205942,-10265.679673,-296.082377
236.723564,666.185348,-10035.851024,-444.123565
236.723884,666.185348,-10342.289223,-296.082377
236.724204,0.000000,-9806.022374,-296.082377
236.724524,74.020594,-10035.851024,-1036.288319
236.724844,222.061783,-10418.898773,-1036.288319
236.725164,296.082377,-10572.117872,-962.267725
236.725484,444.123565,-9882.631924,-1332.370696
236.725804,444.123565,-9806.022374,-740.205942
236.726124,592.164754,-10342.289223,-1036.288319
236.726444,1258.350101,-10035.851024,-888.247130
236.726764,1406.391290,-10265.679673,-296.082377
236.727084,1702.473667,-10572.117872,-518.144159
236.727404,1480.411884,-10342.289223,-370.102971
236.727724,666.185348,-9959.241474,0.000000
236.728044,444.123565,-9959.241474,0.000000
236.728364,962.267725,-10495.508323,-666.185348
236.728684,740.205942,-10342.289223,-370.102971
236.729004,296.082377,-10112.460574,-370.102971
236.729324,0.000000,-10112.460574,-666.185348
236.729644,148.041188,-9806.022374,-1184.329507
236.729964,518.144159,-10418.898773,-814.226536
236.730284,296.082377,-10112.460574,-888.247130
236.730604,888.247130,-9806.022374,-1332.370696
236.730925,962.267725,-10265.679673,-1332.370696
236.731245,296.082377,-10495.508323,-962.267725
236.731565,740.205942,-10265.679673,-1110.308913
236.731885,888.247130,-10112.460574,-1110.308913
236.732205,740.205942,-9882.631924,-370.102971
236.732525,740.205942,-10418.898773,296.082377
236.732845,888.247130,-9959.241474,-444.123565
236.733165,740.205942,-9959.241474,0.000000
236.733485,1036.288319,-9882.631924,-370.102971
236.733805,2220.617826,-11261.603821,-1258.350101
236.734125,222.061783,-10035.851024,-370.102971
236.734445,0.000000,-10189.070123,-592.164754
236.734765,74.020594,-10342.289223,-666.185348
236.735085,0.000000,-9652.803275,148.041188
236.735405,370.102971,-10495.508323,-1036.288319
